Statistical profiling result from con_console.log.log, (9343 ticks, 54 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *dirname node:path:1275:10
      1    0.0%    0.0%  LazyCompile: *concat node:buffer:536:32
      1    0.0%    0.0%  LazyCompile: *compileFunction node:vm:308:25
      1    0.0%    0.0%  LazyCompile: *command /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/connection.js:251:12
      1    0.0%    0.0%  LazyCompile: *clearBuffer node:internal/streams/writable:529:21
      1    0.0%    0.0%  LazyCompile: *alignPool node:buffer:159:19
      1    0.0%    0.0%  LazyCompile: *afterWrite node:internal/streams/writable:487:20
      1    0.0%    0.0%  LazyCompile: *_write node:internal/streams/writable:283:16
      1    0.0%    0.0%  LazyCompile: *_storeHeader node:_http_outgoing:374:22
      1    0.0%    0.0%  LazyCompile: *_copyActual node:buffer:243:21
      1    0.0%    0.0%  LazyCompile: *Readable.read node:internal/streams/readable:394:35
      1    0.0%    0.0%  LazyCompile: *Module.require node:internal/modules/cjs/loader:997:36
      1    0.0%    0.0%  LazyCompile: *Module._compile node:internal/modules/cjs/loader:1059:37
      1    0.0%    0.0%  LazyCompile: *Long /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/bson/lib/long.js:59:18
      1    0.0%    0.0%  LazyCompile: *FastBuffer node:internal/buffer:958:14
      1    0.0%    0.0%  LazyCompile: *BinMsg /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/commands.js:394:16
      1    0.0%    0.0%  LazyCompile: *<anonymous> node:internal/fs/utils:687:40
      1    0.0%    0.0%  Function: ^writeOrBuffer /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/winston-transport/node_modules/readable-stream/lib/_stream_writable.js:363:23
      1    0.0%    0.0%  Function: ^writeHead node:_http_server:270:19
      1    0.0%    0.0%  Function: ^writeCommand /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/message_stream.js:40:17
      1    0.0%    0.0%  Function: ^validChunk /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/winston/node_modules/readable-stream/lib/_stream_writable.js:270:20
      1    0.0%    0.0%  Function: ^unenroll node:timers:78:18
      1    0.0%    0.0%  Function: ^trim_prefix /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/express/lib/router/index.js:293:23
      1    0.0%    0.0%  Function: ^toString node:buffer:783:46
      1    0.0%    0.0%  Function: ^toRealPath node:internal/modules/cjs/loader:393:20
      1    0.0%    0.0%  Function: ^subarray node:buffer:1116:46
      1    0.0%    0.0%  Function: ^strEscape node:internal/util/inspect:475:19
      1    0.0%    0.0%  Function: ^shouldSetCookie /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/express-session/index.js:464:29
      1    0.0%    0.0%  Function: ^shouldCompress /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/compression/index.js:254:25
      1    0.0%    0.0%  Function: ^shift /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/denque/index.js:122:40
      1    0.0%    0.0%  Function: ^setHeader node:_http_outgoing:574:57
      1    0.0%    0.0%  Function: ^serializeInto /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/bson/lib/parser/serializer.js:553:23
      1    0.0%    0.0%  Function: ^serializeBoolean /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/bson/lib/parser/serializer.js:96:26
      1    0.0%    0.0%  Function: ^send /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/express/lib/response.js:111:25
      1    0.0%    0.0%  Function: ^resume_ node:internal/streams/readable:984:17
      1    0.0%    0.0%  Function: ^restore /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/express/lib/router/index.js:631:17
      1    0.0%    0.0%  Function: ^resolveOptions /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/utils.js:569:24
      1    0.0%    0.0%  Function: ^resetQueue /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/graceful-fs/graceful-fs.js:383:21
      1    0.0%    0.0%  Function: ^resOnFinish node:_http_server:793:21
      1    0.0%    0.0%  Function: ^realpathSync node:fs:2425:22
      1    0.0%    0.0%  Function: ^readSync node:fs:684:18
      1    0.0%    0.0%  Function: ^readPreferenceServerSelector /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/sdam/server_selection.js:188:38
      1    0.0%    0.0%  Function: ^push node:internal/fixed_queue:99:7
      1    0.0%    0.0%  Function: ^process_params /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/express/lib/router/index.js:338:47
      1    0.0%    0.0%  Function: ^processWaitQueue /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/sdam/topology.js:548:26
      1    0.0%    0.0%  Function: ^processPromiseRejections node:internal/process/promises:211:34
      1    0.0%    0.0%  Function: ^processIncomingData /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/message_stream.js:84:29
      1    0.0%    0.0%  Function: ^parseBsonSerializationOptions /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/commands.js:473:34
      1    0.0%    0.0%  Function: ^parse /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/commands.js:426:10
      1    0.0%    0.0%  Function: ^ontouch /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/express-session/index.js:347:65
      1    0.0%    0.0%  Function: ^ondata node:internal/streams/readable:752:18
      1    0.0%    0.0%  Function: ^onWriteComplete node:internal/stream_base_commons:80:25
      1    0.0%    0.0%  Function: ^onResponseHeaders /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/compression/index.js:140:47
      1    0.0%    0.0%  Function: ^onParserExecuteCommon node:_http_server:696:31
      1    0.0%    0.0%  Function: ^onHeaders /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/on-headers/index.js:56:20
      1    0.0%    0.0%  Function: ^nop node:_http_outgoing:86:13
      1    0.0%    0.0%  Function: ^newAsyncId node:internal/async_hooks:417:20
      1    0.0%    0.0%  Function: ^maybeReadMore_ node:internal/streams/readable:609:24
      1    0.0%    0.0%  Function: ^makeOperationHandler /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/sdam/server.js:325:30
      1    0.0%    0.0%  Function: ^isFileType node:fs:205:20
      1    0.0%    0.0%  Function: ^isBuffer node:buffer:510:36
      1    0.0%    0.0%  Function: ^initAsyncResource node:internal/timers:157:27
      1    0.0%    0.0%  Function: ^incRefCount node:internal/timers:299:21
